AbstractAdListener,onAdClicked,Called when the ad control is clicked and user is redirected to the link in the ad.
Ad.LoadConfigBuilder,withBid,Allows to loads an ad from the payload supplied with a bid.
RewardData,getUserID,getCurrencypublic java.lang.String getCurrency()
RewardedVideoAd,getPlacementId,Description copied from interface: Ad
RewardData,getCurrency,getQuantitypublic int getQuantity()
NativeAdLayout,setMinWidth,setMaxWidthpublic void setMaxWidth(int maxWidth)
RewardedVideoAdExtendedListener,onRewardedVideoActivityDestroyed,Called when the Rewarded Video activity is destroyed. This callback will only be called if the activity has been destroyed without being properly closed. This can happen if an app with launchMode:singleTask (such as a Unity game) goes to background and then relaunched by tapping the icon.
AdSettings,isVideoAutoplay,Returns:true if video autoplay is enabledSince:4.23
AudienceNetworkAds.InitSettingsBuilder,withPlacementIds,An optional list of placement ids that are used in this application.
RewardedVideoAdListener,onRewardedVideoClosed,Since:4.23
NativeAdView.Type,getHeight,Deprecated. 
AdSize,getWidth,Returns:width of the ad control in DPSince:4.6
NativeAdBase,fromBidPayload,Throws:java.lang.Exception
NativeAdViewAttributes,setDescriptionTextColor,"The color that will be used for all text fields except the title and the CTA button. We recommend this color to not be as prominent as the title color when rendered on top of the background. For example, with a WHITE background and BLACK title, a LIGHT_GRAY would be a good option for this field."
MediaViewVideoRenderer,getMediaViewVideoRendererApi,Used by other SDK classes and subject to change.
NativeAdBase,getId,Gets a unique ID for the NativeAd.
RewardedVideoAd.RewardedVideoAdLoadConfigBuilder,withBid,Allow to load an ad from the payload supplied with a bid.
NativeAdBase.Image,getHeight,Returns:height of the image in dp
AdSettings,setVideoAutoplayOnMobile,Parameters:enabled - whether video autoplay should be enabled only on WifiSince:4.23
NativeAdViewAttributes,getDescriptionTextSize,Deprecated. 
InterstitialAd,getPlacementId,Description copied from interface: Ad
NativeAdLayout,setMaxWidth,关注我们产品人工智能AR/VR业务工具游戏开源工具发布社交集成社交临场感计划Developer CirclesF8 开发者大会初创公司计划ThreatExchange支持开发者支持漏洞开放平台状态Facebook for Developers 社群小组站点地图新闻博客开放平台计划中心成功案例视频Facebook for Developers 主页关注我们 © 2020 Facebook 简介创建广告工作机会开发者政策平台条款隐私权政策Cookie条款中文(简体)Bahasa IndonesiaDeutschEnglish (US)EspañolEspañol (España)Français (France)ItalianoPortuguês (Brasil)Tiếng ViệtРусскийالعربيةภาษาไทย한국어中文(香港)中文(台灣)日本語中文(简体)
NativeBannerAdView.Type,getHeight,Returns:height of the ad control in DP
MediaView,getMediaHeight,getAdContentsViewpublic View getAdContentsView()Description copied from class: com.facebook.ads.internal.api.AdNativeComponentViewUsed by other SDK classes and subject to change.Specified by:getAdContentsView in class com.facebook.ads.internal.api.AdNativeComponentView
RewardedVideoAd,getVideoDuration,Returns:Since:4.28
AdSize,fromWidthAndHeight,AdSize
AdListener,onAdClicked,Called when the ad control is clicked and user is redirected to the link in the ad.
NativeAdBase.Image,getWidth,Returns:width of the image in dp
MediaView,getMediaWidth,getMediaHeightpublic int getMediaHeight()
AdView,isAdInvalidated,Description copied from interface: Ad
NativeAdBase,isAdInvalidated,Description copied from interface: Ad
NativeAdBase,getAdLinkDescription,Shows additional information that the advertiser may have entered.
InterstitialAd,isAdInvalidated,Description copied from interface: Ad
NativeAdViewAttributes,getDescriptionTextColor,Deprecated. 
InterstitialAd.InterstitialAdLoadConfigBuilder,withBid,Allow to loads an ad from the payload supplied with a bid.
AdSettings,isVideoAutoplayOnMobile,Returns:true if video autoplay is enabled only on WifiSince:4.23
AdSize,getHeight,Returns:height of the ad control in DPSince:4.6
AdSettings,setVideoAutoplay,Parameters:enabled - whether video autoplay should be enabled or notSince:4.23
NativeAdView.Type,getWidth,Deprecated. 
RewardedVideoAdListener,onRewardedVideoCompleted,Since:4.23
NativeAdBase,getAdvertiserName,Shows the name of Facebook Page or mobile app that represents the ad.
BidderTokenProvider,getBidderToken,Get the Audience Network Identity Token for ORTB bidding (user.buyeruid). Do not call on the main thread. Use a background thread.
MediaView,setVideoRenderer,After creating the MediaView you can change the video renderer implementation to a custom extension of MediaViewVideoRenderer.
NativeAdBase.NativeAdLoadConfigBuilder,withBid,Allow to loads an ad from the payload supplied with a bid.
RewardedVideoAd,isAdInvalidated,Description copied from interface: Ad
AdView,getPlacementId,Description copied from interface: Ad
NativeAdBase,getPlacementId,Description copied from interface: Ad
NativeBannerAdView.Type,getWidth,Returns:width of the ad control in DP
AdView.AdViewLoadConfigBuilder,withBid,Allow to loads an ad from the payload supplied with a bid.
